mag_x_ut,mag_y_ut,mag_z_ut
280.57555030424334,152.39853700161004,-1019.8815799453172
263.70085564439364,186.2076675341384,-1024.613768867697
263.70085564439364,186.2076675341384,-1024.613768867697
263.70085564439364,186.2076675341384,-1024.613768867697
201.14425517154834,232.94913519005138,-1023.5533308618552
201.14425517154834,232.94913519005138,-1023.5533308618552
158.05032571833044,300.2983370441095,-1008.5429503860387
158.05032571833044,300.2983370441095,-1008.5429503860387
202.6861401101285,418.99408560076034,-923.3279375609374
202.6861401101285,418.99408560076034,-923.3279375609374
348.58002710446203,527.5032276907374,-781.4141688712461
348.58002710446203,527.5032276907374,-781.4141688712461
573.4573623722206,528.9228739147161,-644.8151864884993
573.4573623722206,528.9228739147161,-644.8151864884993
722.4582769499776,507.57312586425155,-486.8097823860897
722.4582769499776,507.57312586425155,-486.8097823860897
831.461903501345,488.00992698136173,-290.9955263838359
831.461903501345,488.00992698136173,-290.9955263838359
903.0922373365879,435.43005590748896,-129.86810032137578
903.0922373365879,435.43005590748896,-129.86810032137578
932.137547635792,374.8349240867887,-77.58659447980982
932.137547635792,374.8349240867887,-77.58659447980982
930.5111727476514,357.7790770122567,68.7881884962566
930.5111727476514,357.7790770122567,68.7881884962566
903.5538659088289,352.3812982362548,199.61165070686235
903.5538659088289,352.3812982362548,199.61165070686235
854.6827207353779,355.7274394775679,301.09766206571703
854.6827207353779,355.7274394775679,301.09766206571703
854.6827207353779,355.7274394775679,301.09766206571703
771.7283730060698,375.3628367843035,391.4560447261688
771.7283730060698,375.3628367843035,391.4560447261688
699.8877848009283,395.8110846524424,469.05972081813906
699.8877848009283,395.8110846524424,469.05972081813906
637.6630926741909,373.2265589510341,534.454753186911
637.6630926741909,373.2265589510341,534.454753186911
577.2284228630265,369.2019647841063,564.3857305748337
577.2284228630265,369.2019647841063,564.3857305748337
449.9929398131993,337.8372059427372,653.5562845488907
449.9929398131993,337.8372059427372,653.5562845488907
287.36916945465987,311.16580332277147,706.3265643257663
287.36916945465987,311.16580332277147,706.3265643257663
157.64628157510393,286.29639961412187,742.6589937667883
157.64628157510393,286.29639961412187,742.6589937667883
19.46088057072748,257.3835823312814,752.3376249800804
19.46088057072748,257.3835823312814,752.3376249800804
-155.29394085083354,210.74317217054636,747.0293414380676
-155.29394085083354,210.74317217054636,747.0293414380676
-321.9942113748415,119.43721390628588,723.2817542223625
-321.9942113748415,119.43721390628588,723.2817542223625
-414.2170780830677,123.12435135597984,687.5747940114445
-414.2170780830677,123.12435135597984,687.5747940114445
-495.90786811208346,114.05671681275746,626.9939352711244
-495.90786811208346,114.05671681275746,626.9939352711244
-495.90786811208346,114.05671681275746,626.9939352711244
-598.7441648491589,27.362409816230926,588.5892924446678
-598.7441648491589,27.362409816230926,588.5892924446678
-650.518773396463,-15.028391929510617,563.9021104131392
-650.518773396463,-15.028391929510617,563.9021104131392
-654.1062225886712,32.84034403930337,557.7389367796961
-654.1062225886712,32.84034403930337,557.7389367796961
-673.3436507843019,13.9389826485415,551.9161771483745
-673.3436507843019,13.9389826485415,551.9161771483745
-654.2188232293693,173.2442124302858,479.9991096314043
-654.2188232293693,173.2442124302858,479.9991096314043
-646.3462841655085,258.79801780804564,432.6656757155191
-646.3462841655085,258.79801780804564,432.6656757155191
-621.9570274118144,342.02866856265643,372.988626894286
-621.9570274118144,342.02866856265643,372.988626894286
-667.1307527082417,478.56087346313694,-15.484023961993874
-667.1307527082417,478.56087346313694,-15.484023961993874
-625.0631792331084,547.3248050160757,-102.65324872931136
-625.0631792331084,547.3248050160757,-102.65324872931136
-615.3874424115241,533.7279782224795,22.161024321082042
-615.3874424115241,533.7279782224795,22.161024321082042
-565.0690326058836,602.6611109033533,-89.21500457462201
-565.0690326058836,602.6611109033533,-89.21500457462201
-531.4496017796494,605.4450482604427,-347.7649893820805
-531.4496017796494,605.4450482604427,-347.7649893820805
-542.7949994842102,556.2869166636257,-505.7911872403848
-542.7949994842102,556.2869166636257,-505.7911872403848
-542.7949994842102,556.2869166636257,-505.7911872403848
-551.5590487266767,531.4702811166514,-559.6030669207472
-551.5590487266767,531.4702811166514,-559.6030669207472
-560.4221362919283,570.5288037406075,-504.7352665788171
-560.4221362919283,570.5288037406075,-504.7352665788171
